Longitude,Latitude,U,V
-4.639485053091879507e+01,-2.408242401826778689e+01,-5.799999999999999600e-01,8.999999999999999667e-02
-4.639386732538827118e+01,-2.408242401826778689e+01,-5.799999999999999600e-01,1.000000000000000056e-01
-4.639288413371507147e+01,-2.408242401826778689e+01,-5.799999999999999600e-01,1.000000000000000056e-01
-4.639190105409906550e+01,-2.408242401826778689e+01,-5.799999999999999600e-01,1.000000000000000056e-01
-4.639091788994085874e+01,-2.408242401826778689e+01,-5.799999999999999600e-01,1.000000000000000056e-01
-4.638993483796461703e+01,-2.408242401826778689e+01,-5.799999999999999600e-01,1.100000000000000006e-01
-4.638895170138169277e+01,-2.408242401826778689e+01,-5.799999999999999600e-01,1.100000000000000006e-01
-4.638796857858534395e+01,-2.408242401826778689e+01,-5.799999999999999600e-01,1.100000000000000006e-01
-4.638698556790256333e+01,-2.408242401826778689e+01,-5.899999999999999689e-01,1.100000000000000006e-01
-4.638600247267522292e+01,-2.408242401826778689e+01,-5.899999999999999689e-01,1.199999999999999956e-01
-4.638501948955774168e+01,-2.408242401826778689e+01,-5.899999999999999689e-01,1.199999999999999956e-01
-4.638403642189475562e+01,-2.408242401826778689e+01,-5.899999999999999689e-01,1.199999999999999956e-01
-4.638305336795452405e+01,-2.408242401826778689e+01,-5.899999999999999689e-01,1.300000000000000044e-01
-4.638207042617732156e+01,-2.408242401826778689e+01,-5.999999999999999778e-01,1.300000000000000044e-01
-4.638108740030632049e+01,-2.408242401826778689e+01,-5.999999999999999778e-01,1.300000000000000044e-01
-4.638010438769801169e+01,-2.408242401826778689e+01,-5.999999999999999778e-01,1.400000000000000133e-01
-4.637912148724512207e+01,-2.408242401826778689e+01,-5.999999999999999778e-01,1.400000000000000133e-01
-4.637813850218930867e+01,-2.408242401826778689e+01,-5.999999999999999778e-01,1.400000000000000133e-01
-4.637715641579994497e+01,-2.408242401826778689e+01,-5.999999999999999778e-01,1.499999999999999944e-01
-4.637617345834035376e+01,-2.408242401826778689e+01,-6.099999999999999867e-01,1.499999999999999944e-01
-4.637519051459977248e+01,-2.408242401826778689e+01,-6.099999999999999867e-01,1.600000000000000033e-01
-4.637420768295007889e+01,-2.408242401826778689e+01,-6.099999999999999867e-01,1.600000000000000033e-01
-4.637322476675106486e+01,-2.408242401826778689e+01,-6.099999999999999867e-01,1.600000000000000033e-01
-4.637224196263924370e+01,-2.408242401826778689e+01,-6.199999999999999956e-01,1.700000000000000122e-01
-4.637125907397716418e+01,-2.408242401826778689e+01,-6.199999999999999956e-01,1.700000000000000122e-01
-4.637027619908214859e+01,-2.408242401826778689e+01,-6.199999999999999956e-01,1.700000000000000122e-01
-4.636929343622043120e+01,-2.408242401826778689e+01,-6.300000000000000044e-01,1.700000000000000122e-01
-4.636831058885607604e+01,-2.408242401826778689e+01,-6.300000000000000044e-01,1.700000000000000122e-01
-4.636732785356967668e+01,-2.408242401826778689e+01,-6.300000000000000044e-01,1.799999999999999933e-01
-4.636634503368434679e+01,-2.408242401826778689e+01,-6.300000000000000044e-01,1.799999999999999933e-01
-4.636536222760727810e+01,-2.408242401826778689e+01,-6.300000000000000044e-01,1.799999999999999933e-01
-4.636437953355768826e+01,-2.408242401826778689e+01,-6.300000000000000044e-01,1.799999999999999933e-01
-4.636339675499966972e+01,-2.408242401826778689e+01,-6.300000000000000044e-01,1.900000000000000022e-01
-4.636241399015588627e+01,-2.408242401826778689e+01,-6.300000000000000044e-01,1.900000000000000022e-01
-4.636143133738034550e+01,-2.408242401826778689e+01,-6.300000000000000044e-01,1.900000000000000022e-01
-4.636044860005072366e+01,-2.408242401826778689e+01,-6.300000000000000044e-01,2.000000000000000111e-01
-4.635946597478564257e+01,-2.408242401826778689e+01,-6.300000000000000044e-01,2.000000000000000111e-01
-4.635848326496553540e+01,-2.408242401826778689e+01,-6.300000000000000044e-01,2.099999999999999922e-01
-4.635750056889877868e+01,-2.408242401826778689e+01,-6.400000000000000133e-01,2.099999999999999922e-01
-4.635651798489102760e+01,-2.408242401826778689e+01,-6.400000000000000133e-01,2.200000000000000011e-01
-4.635553531632682223e+01,-2.408242401826778689e+01,-6.500000000000000222e-01,2.300000000000000100e-01
-4.635455275981792056e+01,-2.408242401826778689e+01,-6.500000000000000222e-01,2.300000000000000100e-01
-4.635357011871428767e+01,-2.408242401826778689e+01,-6.500000000000000222e-01,2.399999999999999911e-01
-4.635258749168947645e+01,-2.408242401826778689e+01,-6.600000000000000311e-01,2.399999999999999911e-01
-4.635160497637971844e+01,-2.408242401826778689e+01,-6.600000000000000311e-01,2.399999999999999911e-01
-4.635062237654780404e+01,-2.408242401826778689e+01,-6.600000000000000311e-01,2.399999999999999911e-01
-4.634963979042537119e+01,-2.408242401826778689e+01,-6.600000000000000311e-01,2.399999999999999911e-01
-4.634865731634853603e+01,-2.408242401826778689e+01,-6.600000000000000311e-01,2.399999999999999911e-01
-4.634767475774605572e+01,-2.408242401826778689e+01,-6.700000000000000400e-01,2.399999999999999911e-01
-4.634669231115157828e+01,-2.408242401826778689e+01,-6.700000000000000400e-01,2.500000000000000000e-01
-4.634570977999729990e+01,-2.408242401826778689e+01,-6.800000000000000488e-01,2.500000000000000000e-01
-4.634472726258267272e+01,-2.408242401826778689e+01,-6.899999999999999467e-01,2.500000000000000000e-01
-4.634374485720439907e+01,-2.408242401826778689e+01,-6.999999999999999556e-01,2.500000000000000000e-01
-4.634276236726490339e+01,-2.408242401826778689e+01,-6.999999999999999556e-01,2.600000000000000089e-01
-4.634177998932899101e+01,-2.408242401826778689e+01,-7.099999999999999645e-01,2.600000000000000089e-01
-4.634079752686069043e+01,-2.408242401826778689e+01,-7.099999999999999645e-01,2.600000000000000089e-01
-4.633981586448718559e+01,-2.408242401826778689e+01,-7.099999999999999645e-01,2.700000000000000178e-01
-4.633883352774732600e+01,-2.408242401826778689e+01,-7.099999999999999645e-01,2.700000000000000178e-01
-4.633785110647161076e+01,-2.408242401826778689e+01,-6.999999999999999556e-01,2.700000000000000178e-01
-4.633686869890061644e+01,-2.408242401826778689e+01,-6.999999999999999556e-01,2.700000000000000178e-01
-4.633588640337753617e+01,-2.408242401826778689e+01,-6.999999999999999556e-01,2.700000000000000178e-01
-4.633490402326518165e+01,-2.408242401826778689e+01,-6.999999999999999556e-01,2.700000000000000178e-01
-4.633392175517208500e+01,-2.408242401826778689e+01,-7.099999999999999645e-01,2.800000000000000266e-01
-4.633293940253732046e+01,-2.408242401826778689e+01,-7.199999999999999734e-01,2.800000000000000266e-01
-4.633195706360491073e+01,-2.408242401826778689e+01,-7.199999999999999734e-01,2.800000000000000266e-01
-4.633097483668623084e+01,-2.408242401826778689e+01,-7.299999999999999822e-01,2.800000000000000266e-01
-4.632999252520156119e+01,-2.408242401826778689e+01,-7.399999999999999911e-01,2.800000000000000266e-01
-4.632901022743934760e+01,-2.408242401826778689e+01,-7.399999999999999911e-01,2.800000000000000266e-01
-4.632802804166585986e+01,-2.408242401826778689e+01,-7.500000000000000000e-01,2.800000000000000266e-01
-4.632704577134510515e+01,-2.408242401826778689e+01,-7.500000000000000000e-01,2.800000000000000266e-01
-4.632606361302885745e+01,-2.408242401826778689e+01,-7.500000000000000000e-01,2.800000000000000266e-01
-4.632508137014424676e+01,-2.408242401826778689e+01,-7.500000000000000000e-01,2.800000000000000266e-01
-4.632409914095957504e+01,-2.408242401826778689e+01,-7.500000000000000000e-01,2.899999999999999800e-01
-4.632311702379127638e+01,-2.408242401826778689e+01,-7.600000000000000089e-01,2.899999999999999800e-01
-4.632213482203784594e+01,-2.408242401826778689e+01,-7.600000000000000089e-01,2.899999999999999800e-01
-4.632115263399897742e+01,-2.408242401826778689e+01,-7.600000000000000089e-01,2.899999999999999800e-01
-4.632017055796889338e+01,-2.408242401826778689e+01,-7.700000000000000178e-01,2.899999999999999800e-01
-4.631918839735430282e+01,-2.408242401826778689e+01,-7.700000000000000178e-01,2.899999999999999800e-01
-4.631820634873081843e+01,-2.408242401826778689e+01,-7.800000000000000266e-01,2.899999999999999800e-01
-4.631722421553655522e+01,-2.408242401826778689e+01,-7.800000000000000266e-01,2.899999999999999800e-01
-4.631624209605106302e+01,-2.408242401826778689e+01,-7.900000000000000355e-01,2.899999999999999800e-01
-4.631526008855114185e+01,-2.408242401826778689e+01,-7.900000000000000355e-01,2.899999999999999800e-01
-4.631427799647902788e+01,-2.408242401826778689e+01,-7.900000000000000355e-01,2.800000000000000266e-01
-4.631329601638879012e+01,-2.408242401826778689e+01,-8.000000000000000444e-01,2.800000000000000266e-01
-4.631231395171690934e+01,-2.408242401826778689e+01,-8.000000000000000444e-01,2.800000000000000266e-01
-4.631133190075718176e+01,-2.408242401826778689e+01,-8.000000000000000444e-01,2.700000000000000178e-01
-4.631034996176666141e+01,-2.408242401826778689e+01,-8.000000000000000444e-01,2.700000000000000178e-01
-4.630936793826094799e+01,-2.408242401826778689e+01,-8.000000000000000444e-01,2.700000000000000178e-01
-4.630838592839194945e+01,-2.408242401826778689e+01,-8.000000000000000444e-01,2.600000000000000089e-01
-4.630740403050020149e+01,-2.408242401826778689e+01,-8.000000000000000444e-01,2.600000000000000089e-01
